Номер основной БС	Номер 6x
CH2378	CH4724
CH2380	CH4439
CH2391	CH4154
CH2392	CH5392
CH2393	CH4593
CH2395	CH4957
CH2405	CH4473
CH2409	CH4800
CH2422	CH4469
CH2442	CH4555
CH2458	CH4231
CH2461	CH4491
CH2463	CH4958
CH2464	CH5464
CH2470	CH4138
CH2475	CH4185
CH2495	CH4522
CH2528	CH4460
CH2545	CH4461
CH2545	CH5545
CH2546	CH4147
CH2547	CH4758
CH2548	CH4959
CH2560	CH4152
CH2561	CH4968
CH2569	CH4150
CH2572	CH4315
CH2577	CH4960
CH2580	CH4961
CH2587	CH4470
CH2661	CH4156
EK0004	EK4552
EK0005	EK4355
EK0006	EK4310
EK0007	EK4389
EK0011	EK4306
EK0012	EK4554
EK0014	EK4311
EK0015	EK4390
EK0016	EK4357
EK0017	EK4323
EK0018	EK4346
EK0020	EK4324
EK0021	EK4410
EK0022	EK4391
EK0023	EK4392
EK0024	EK4325
EK0026	EK4520
EK0027	EK4375
EK0031	EK4555
EK0035	EK4326
EK0036	EK4406
EK0038	EK4556
EK0040	EK4557
EK0041	EK4359
EK0042	EK4515
EK0044	EK4529
EK0047	EK4757
EK0048	EK4327
EK0060	EK4558
EK0065	EK4360
EK0066	EK4328
EK0070	EK4513
EK0071	EK4704
EK0079	EK4312
EK0082	EK4559
EK0083	EK4516
EK0086	EK4303
EK0087	EK4705
EK0092	EK4732
EK0093	EK4409
EK0102	EK4393
EK0103	EK4560
EK0106	EK4521
EK0110	EK4358
EK0111	EK4530
EK0112	EK4522
EK0116	EK4523
EK0117	EK4531
EK0121	EK4532
EK0122	EK4329
EK0126	EK4394
EK0128	EK4380
EK0129	EK4330
EK0131	EK4361
EK0132	EK4350
EK0134	EK4362
EK0135	EK4381
EK0139	EK4353
EK0140	EK4562
EK0142	EK4550
EK0143	EK4363
EK0144	EK4354
EK0145	EK4345
EK0146	EK4364
EK0148	EK4365
EK0152	EK4749
EK0153	EK4502
EK0155	EK4706
EK0157	EK4745
EK0158	EK4707
EK0168	EK4709
EK0170	EK4533
EK0171	EK4301
EK0172	EK4331
EK0173	EK4752
EK0174	EK4332
EK0176	EK4366
EK0179	EK4563
EK0181	EK4367
EK0183	EK4564
EK0184	EK4368
EK0188	EK4382
EK0189	EK4565
EK0196	EK4710
EK0204	EK4712
EK0211	EK4369
EK0213	EK4507
EK0216	EK4566
EK0217	EK4302
EK0219	EK4333
EK0224	EK4744
EK0226	EK4527
EK0228	EK4383
EK0229	EK4567
EK0231	EK4334
EK0232	EK4384
EK0234	EK4508
EK0235	EK4385
EK0236	EK4534
EK0238	EK4568
EK0239	EK4335
EK0241	EK4569
EK0242	EK4713
EK0243	EK4701
EK0246	EK4336
EK0250	EK4714
EK0254	EK4571
EK0255	EK4317
EK0259	EK4572
EK0260	EK5062
EK0262	EK4754
EK0263	EK4395
EK0264	EK4396
EK0265	EK4573
EK0268	EK4524
EK0271	EK4370
EK0272	EK4715
EK0277	EK4574
EK0286	EK4756
EK0293	EK4575
EK0294	EK4576
EK0298	EK4321
EK0313	EK4509
EK0317	EK4577
EK0325	EK4718
EK0333	EK4337
EK0338	EK4338
EK0341	EK4500
EK0345	EK4339
EK0346	EK4578
EK0349	EK4397
EK0351	EK4535
EK0352	EK4733
EK0357	EK4398
EK0358	EK4536
EK0362	EK4734
EK0373	EK4376
EK0375	EK4340
EK0376	EK4580
EK0380	EK4537
EK0385	EK4719
EK0387	EK4720
EK0390	EK4721
EK0397	EK4386
EK0402	EK4739
EK0403	EK4553
EK0412	EK4740
EK0414	EK4371
EK0420	EK4581
EK0424	EK4519
EK0427	EK4510
EK0428	EK4582
EK0429	EK4747
EK0433	EK4583
EK0436	EK4538
EK0438	EK4584
EK0440	EK4399
EK0446	EK4322
EK0447	EK4347
EK0453	EK4387
EK0454	EK4702
EK0465	EK4503
EK0473	EK4348
EK0475	EK4748
EK0479	EK4585
EK0481	EK4504
EK0486	EK4388
EK0487	EK4586
EK0493	EK4587
EK0495	EK4722
EK0499	EK4408
EK0502	EK4517
EK0503	EK4588
EK0513	EK4539
EK0516	EK4743
EK0520	EK4372
EK0521	EK4540
EK0523	EK4590
EK0524	EK4401
EK0529	EK4591
EK0532	EK4597
EK0536	EK4599
EK0542	EK4373
EK0545	EK4735
EK0552	EK4736
EK0554	EK4374
EK0555	EK4541
EK0556	EK4542
EK0561	EK4511
EK0565	EK4543
EK0568	EK4351
EK0591	EK4349
EK0608	EK4544
EK0612	EK4724
EK0622	EK4545
EK0626	EK4352
EK0632	EK4632
EK0656	EK4341
EK0657	EK4546
EK0660	EK4378
EK0665	EK4725
EK0669	EK4700
EK0676	EK4548
EK0681	EK4726
EK0682	EK4342
EK0683	EK4512
EK0684	EK4528
EK0699	EK4727
EK0720	EK4703
EK0732	EK4549
EK0738	EK4402
EK0739	EK4551
EK0817	EK4407
EK0835	EK4525
EK0853	EK4343
EK0866	EK4751
EK0868	EK4753
EK0888	EK4737
EK0890	EK4403
EK0917	EK4518
EK0962	EK4404
EK0968	EK4379
EK0985	EK4526
EK0992	EK4514
EK0999	EK4730
EK1005	EK4506
EK1180	EK4731
EK1181	EK4405
EK1183	EK4193
EK1186	EK4501
EK2011	EK5059
EK2027	EK5060
EK2030	EK5031
EK2054	EK5057
EK2103	EK4755
EK2147	EK5247
PM0002	PM4002
PM0012	PM4012
PM0013	PM4013
PM0014	PM4014
PM0016	PM4016
PM0017	PM4017
PM0019	PM4019
PM0020	PM4020
PM0022	PM4022
PM0026	PM4026
PM0030	PM4030
PM0032	PM4032
PM0035	PM4035
PM0036	PM4036
PM0045	PM4045
PM0046	PM4046
PM0047	PM4047
PM0048	PM4048
PM0049	PM4049
PM0050	PM4050
PM0053	PM4053
PM0055	PM4055
PM0056	PM4056
PM0058	PM4058
PM0064	PM4064
PM0073	PM4073
PM0074	PM4074
PM0076	PM4076
PM0077	PM4077
PM0079	PM4079
PM0080	PM4080
PM0081	PM4081
PM0082	PM4082
PM0083	PM4083
PM0084	PM4084
PM0086	PM4086
PM0087	PM4087
PM0088	PM4088
PM0089	PM4089
PM0092	PM4092
PM0093	PM4093
PM0094	PM4094
PM0096	PM4096
PM0097	PM4097
PM0098	PM4098
PM0099	PM4099
PM0101	PM4101
PM0102	PM4102
PM0103	PM4103
PM0104	PM4104
PM0105	PM4105
PM0106	PM4106
PM0107	PM4107
PM0110	PM4110
PM0112	PM4112
PM0114	PM4114
PM0115	PM4115
PM0116	PM4116
PM0118	PM4118
PM0120	PM4120
PM0121	PM4121
PM0123	PM4123
PM0126	PM4126
PM0129	PM4129
PM0131	PM4131
PM0137	PM4137
PM0138	PM4138
PM0141	PM4141
PM0142	PM4142
PM0143	PM4143
PM0148	PM4148
PM0149	PM4149
PM0150	PM4150
PM0151	PM4151
PM0152	PM4152
PM0153	PM4153
PM0154	PM4154
PM0159	PM4159
PM0160	PM4160
PM0162	PM4162
PM0163	PM4163
PM0164	PM4164
PM0166	PM4166
PM0168	PM4168
PM0169	PM4169
PM0172	PM4172
PM0173	PM4173
PM0176	PM4176
PM0178	PM4178
PM0179	PM4179
PM0182	PM4182
PM0183	PM4183
PM0186	PM4186
PM0187	PM4187
PM0188	PM4188
PM0190	PM4190
PM0195	PM4195
PM0196	PM4196
PM0198	PM4198
PM0201	PM4201
PM0203	PM4203
PM0204	PM4204
PM0205	PM4205
PM0207	PM4207
PM0209	PM4209
PM0210	PM4210
PM0211	PM4211
PM0214	PM4214
PM0215	PM4215
PM0216	PM4216
PM0217	PM4217
PM0218	PM4218
PM0222	PM4222
PM0225	PM4225
PM0226	PM4226
PM0227	PM4227
PM0228	PM4228
PM0231	PM4231
PM0232	PM4232
PM0233	PM4233
PM0237	PM4237
PM0238	PM4238
PM0241	PM4241
PM0244	PM4244
PM0247	PM4247
PM0250	PM4250
PM0251	PM4251
PM0253	PM4253
PM0254	PM4254
PM0256	PM4256
PM0260	PM4260
PM0262	PM4262
PM0263	PM4263
PM0264	PM4264
PM0265	PM4265
PM0267	PM4267
PM0269	PM4269
PM0277	PM4277
PM0279	PM4279
PM0285	PM4285
PM0291	PM4291
PM0295	PM4295
PM0296	PM4296
PM0297	PM4297
PM0298	PM4298
PM0300	PM4300
PM0305	PM4305
PM0307	PM4307
PM0308	PM4308
PM0309	PM4309
PM0314	PM4314
PM0318	PM4318
PM0319	PM4319
PM0321	PM4321
PM0323	PM4323
PM0324	PM4324
PM0327	PM4327
PM0329	PM4329
PM0330	PM4330
PM0331	PM4331
PM0342	PM4342
PM0343	PM4343
PM0344	PM4344
PM0348	PM4348
PM0349	PM4349
PM0350	PM4350
PM0351	PM4351
PM0353	PM4353
PM0354	PM4354
PM0360	PM4360
PM0366	PM4366
PM0368	PM4368
PM0369	PM4369
PM0371	PM4371
PM0372	PM4372
PM0375	PM4375
PM0377	PM4377
PM0378	PM4378
PM0398	PM4398
PM0399	PM4399
PM0401	PM4401
PM0404	PM4404
PM0410	PM4410
PM0411	PM4411
PM0419	PM4419
PM0423	PM4423
PM0424	PM4424
PM0429	PM4429
PM0431	PM4431
PM0437	PM4437
PM0438	PM4438
PM0449	PM4449
PM0450	PM4450
PM0451	PM4451
PM0455	PM4455
PM0456	PM4456
PM0457	PM4457
PM0460	PM4460
PM0463	PM4463
PM0464	PM4464
PM0465	PM4465
PM0466	PM4466
PM0469	PM4469
PM0471	PM4471
PM0473	PM4473
PM0476	PM4476
PM0477	PM4477
PM0478	PM4478
PM0479	PM4479
PM0481	PM4481
PM0488	PM4488
PM0490	PM4490
PM0491	PM4491
PM0494	PM4494
PM0496	PM4496
PM0499	PM4499
PM0504	PM4504
PM0505	PM4505
PM0506	PM4506
PM0507	PM4507
PM0508	PM4508
PM0510	PM4510
PM0513	PM4513
PM0516	PM4516
PM0518	PM4518
PM0521	PM4521
PM0524	PM4524
PM0533	PM4533
PM0534	PM4534
PM0537	PM4537
PM0538	PM4538
PM0540	PM4540
PM0541	PM4541
